#;OrderNumber;OrderDate;Product Name;Warehouse Code;Channel;City;Country;Customer Names;Region Group;ABC_XYZ;RFM;Order Quantity;Unit Price;Line Total;Total Unit Cost;Profit;Margin
27;SO - 0004051;07.09.2015;Product 7;AXW291;Wholesale;BERLIN;Germany;21st Ltd;Lower Regions;AZ;332;8;1943;15544;1224,09;5751,28;37
28;SO - 0002409;23.02.2015;Product 7;AXW291;Wholesale;BERLIN;Germany;PEDIFIX, Corp;Lower Regions;AZ;424;9;1105,5;9949,5;773,85;2984,85;30
29;SO - 0002336;09.02.2015;Product 7;AXW291;Distributor;BERLIN;Germany;Pacific Ltd;Lower Regions;AZ;423;9;3457,2;31114,8;1452,024;18046,584;58
30;SO - 0003330;08.06.2015;Product 7;AXW291;Export;BERLIN;Germany;Wuxi Group;Lower Regions;AZ;425;9;1306,5;11758,5;535,665;6937,515;59
31;SO - 0004807;07.12.2015;Product 7;AXW291;Wholesale;BERLIN;Germany;Linde;Lower Regions;AZ;332;10;1005;10050;582,9;4221;42
32;SO - 0006536;04.07.2016;Product 7;AXW291;Wholesale;BERLIN;Germany;21st Ltd;Lower Regions;AZ;154;10;1085,4;10854;662,094;4233,06;39
33;SO - 0004566;16.11.2015;Product 7;AXW291;Export;BERLIN;Germany;Select;Lower Regions;AZ;335;10;3839,1;38391;2149,896;16892,04;44
34;SO - 0003215;25.05.2015;Product 7;AXW291;Wholesale;BERLIN;Germany;3LAB, Ltd;Lower Regions;AZ;424;11;174,2;1916,2;127,166;517,374;27
35;SO - 0006428;20.06.2016;Product 7;AXW291;Export;BERLIN;Germany;Capweld;Lower Regions;AZ;242;12;2934,6;35215,2;1437,954;17959,752;51
36;SO - 000625;28.07.2014;Product 7;AXW291;Wholesale;MADRID;Spain;Victory Ltd;Top Regions;AZ;511;5;1882,7;9413,5;1430,852;2259,24;24
37;SO - 0005790;04.04.2016;Product 7;AXW291;Wholesale;MADRID;Spain;Procter Corp;Top Regions;AZ;244;5;2371,8;11859;1565,388;4032,06;34
38;SO - 0006673;18.07.2016;Product 7;AXW291;Wholesale;MADRID;Spain;OHTA'S Corp;Top Regions;AZ;154;5;2599,6;12998;1637,748;4809,26;37
39;SO - 0002953;27.04.2015;Product 7;AXW291;Distributor;MADRID;Spain;Victory Ltd;Top Regions;AZ;425;5;1025,1;5125,5;697,068;1640,16;32
40;SO - 0001162;29.09.2014;Product 7;AXW291;Export;MADRID;Spain;Prasco Group;Top Regions;AZ;514;6;6331,5;37989;2532,6;22793,4;60
41;SO - 0004548;09.11.2015;Product 7;AXW291;Export;MADRID;Spain;Trigen;Top Regions;AZ;334;6;6277,9;37667,4;4143,414;12806,916;34
42;SO - 0004480;02.11.2015;Product 7;AXW291;Wholesale;MADRID;Spain;21st Ltd;Top Regions;AZ;333;7;3946,3;27624,1;2920,262;7182,266;26
43;SO - 0007424;10.10.2016;Product 7;AXW291;Wholesale;MADRID;Spain;PEDIFIX, Corp;Top Regions;AZ;153;7;730,3;5112,1;496,604;1635,872;32
44;SO - 0002691;30.03.2015;Product 7;AXW291;Distributor;MADRID;Spain;Avon Corp;Top Regions;AZ;424;7;1031,8;7222,6;588,126;3105,718;43
45;SO - 0007979;12.12.2016;Product 7;AXW291;Distributor;MADRID;Spain;Winthrop;Top Regions;AZ;152;7;6398,5;44789,5;4542,935;12988,955;29
46;SO - 0001007;08.09.2014;Product 7;AXW291;Distributor;MADRID;Spain;Apotheca, Ltd;Top Regions;AZ;512;8;1922,9;15383,2;865,305;8460,76;55
47;SO - 0001183;06.10.2014;Product 7;AXW291;Distributor;MADRID;Spain;Nipro;Top Regions;AZ;511;8;3979,8;31838,4;2865,456;8914,752;28
48;SO - 0005542;29.02.2016;Product 7;AXW291;Distributor;MADRID;Spain;New Ltd;Top Regions;AZ;241;8;1045,2;8361,6;710,736;2675,712;32
49;SO - 0002407;23.02.2015;Product 7;AXW291;Wholesale;MADRID;Spain;Medline;Top Regions;AZ;424;9;227,8;2050,2;179,962;430,542;21
50;SO - 0006976;22.08.2016;Product 7;AXW291;Wholesale;MADRID;Spain;Linde;Top Regions;AZ;153;9;5293;47637;3334,59;17625,69;37
51;SO - 0007814;21.11.2016;Product 7;AXW291;Distributor;MADRID;Spain;Exact-Rx, Corp;Top Regions;AZ;154;9;6338,2;57043,8;3993,066;21106,206;37
52;SO - 000799;18.08.2014;Product 7;AXW291;Wholesale;MADRID;Spain;Ole Group;Top Regions;AZ;515;11;3832,4;42156,4;2835,976;10960,664;26
53;SO - 0004875;21.12.2015;Product 7;AXW291;Wholesale;MADRID;Spain;Victory Ltd;Top Regions;AZ;332;11;268;2948;131,32;1503,48;51
54;SO - 0005544;29.02.2016;Product 7;AXW291;Wholesale;MADRID;Spain;E. Ltd;Top Regions;AZ;241;11;5788,8;63676,8;4457,376;14645,664;23
55;SO - 000784;18.08.2014;Product 7;AXW291;Export;MADRID;Spain;Amylin Group;Top Regions;AZ;515;11;194,3;2137,3;110,751;919,039;43
56;SO - 0006805;01.08.2016;Product 7;AXW291;Export;MADRID;Spain;Fenwal, Corp;Top Regions;AZ;154;11;2385,2;26237,2;1765,048;6821,672;26
57;SO - 0002670;30.03.2015;Product 7;AXW291;Wholesale;MADRID;Spain;U.S. Ltd;Top Regions;AZ;424;12;3959,7;47516,4;2811,387;13779,756;29
58;SO - 0007242;19.09.2016;Product 7;AXW291;Wholesale;MADRID;Spain;Victory Ltd;Top Regions;AZ;155;12;1239,5;14874;805,675;5205,9;35
59;SO - 0003067;11.05.2015;Product 7;AXW291;Wholesale;ROMA;Italy;Elorac, Corp;Top Regions;AZ;422;6;1038,5;6231;467,325;3427,05;55
60;SO - 0004011;31.08.2015;Product 7;AXW291;Wholesale;ROMA;Italy;Ole Group;Top Regions;AZ;332;6;884,4;5306,4;689,832;1167,408;22
61;SO - 0001382;27.10.2014;Product 7;AXW291;Distributor;ROMA;Italy;Victory Ltd;Top Regions;AZ;513;6;3899,4;23396,4;2417,628;8890,632;38
62;SO - 0007854;28.11.2016;Product 7;AXW291;Distributor;ROMA;Italy;Weimei Corp;Top Regions;AZ;151;6;3115,5;18693;1900,455;7290,27;39
63;SO - 0005579;07.03.2016;Product 7;AXW291;Distributor;ROMA;Italy;Niconovum Corp;Top Regions;AZ;242;7;1058,6;7410,2;899,81;1111,53;15
64;SO - 0002828;13.04.2015;Product 7;AXW291;Wholesale;ROMA;Italy;Avon Corp;Top Regions;AZ;421;9;1956,4;17607,6;860,816;9860,256;56
65;SO - 0005994;25.04.2016;Product 7;AXW291;Wholesale;ROMA;Italy;Mylan Corp;Top Regions;AZ;245;9;1862,6;16763,4;1564,584;2682,144;16
66;SO - 0006760;25.07.2016;Product 7;AXW291;Wholesale;ROMA;Italy;Procter Corp;Top Regions;AZ;155;9;3095,4;27858,6;1392,93;15322,23;55
67;SO - 000821;18.08.2014;Product 7;AXW291;Distributor;ROMA;Italy;Apollo Ltd;Top Regions;AZ;515;9;247,9;2231,1;151,219;870,129;39
68;SO - 0007894;05.12.2016;Product 7;AXW291;Distributor;ROMA;Italy;Apotheca, Ltd;Top Regions;AZ;155;9;1125,6;10130,4;866,712;2329,992;23
69;SO - 000196;09.06.2014;Product 7;AXW291;Export;ROMA;Italy;Procter Corp;Top Regions;AZ;511;9;187,6;1688,4;144,452;388,332;23
70;SO - 0003625;20.07.2015;Product 7;AXW291;Wholesale;ROMA;Italy;Apotheca, Ltd;Top Regions;AZ;334;10;1038,5;10385;841,185;1973,15;19
71;SO - 000888;25.08.2014;Product 7;AXW291;Wholesale;ROMA;Italy;Sundial;Top Regions;AZ;514;11;174,2;1916,2;80,132;1034,748;54
72;SO - 0002265;02.02.2015;Product 7;AXW291;Wholesale;ROMA;Italy;Trigen;Top Regions;AZ;422;11;1078,7;11865,7;528,563;6051,507;51
73;SO - 0005004;04.01.2016;Product 7;AXW291;Wholesale;ROMA;Italy;PEDIFIX, Corp;Top Regions;AZ;245;11;5768,7;63455,7;4557,273;13325,697;21
74;SO - 0005271;01.02.2016;Product 7;AXW291;Wholesale;ROMA;Italy;Winthrop;Top Regions;AZ;241;11;1701,8;18719,8;1276,35;4679,95;25
75;SO - 0008001;19.12.2016;Product 7;AXW291;Wholesale;ROMA;Italy;Apollo Ltd;Top Regions;AZ;153;11;167,5;1842,5;72,025;1050,225;57
76;SO - 000639;04.08.2014;Product 7;AXW291;Distributor;ROMA;Italy;Weimei Corp;Top Regions;AZ;515;11;1031,8;11349,8;505,582;5788,398;51
77;SO - 0008005;19.12.2016;Product 7;AXW291;Distributor;ROMA;Italy;Apotheca, Ltd;Top Regions;AZ;153;11;2847,5;31322,5;1395,275;15974,475;51
78;SO - 0001117;22.09.2014;Product 7;AXW291;Wholesale;ROMA;Italy;Apollo Ltd;Top Regions;AZ;515;12;3953;47436;2964,75;11859;25
79;SO - 0001376;27.10.2014;Product 7;AXW291;Wholesale;ROMA;Italy;Pacific Ltd;Top Regions;AZ;513;12;3939,6;47275,2;1575,84;28365,12;60
80;SO - 0007023;29.08.2016;Product 7;AXW291;Distributor;ROMA;Italy;OUR Ltd;Top Regions;AZ;151;12;1118,9;13426,8;626,584;5907,792;44
81;SO - 0001157;29.09.2014;Product 7;AXW291;Export;ROMA;Italy;Ei;Top Regions;AZ;514;12;2237,8;26853,6;1118,9;13426,8;50
82;SO - 0003361;15.06.2015;Product 7;AXW291;Export;ROMA;Italy;Sundial;Top Regions;AZ;332;12;3953;47436;3241,46;8538,48;18
83;SO - 000954;08.09.2014;Product 7;AXW291;Wholesale;KIEV;Ukraine;Wuxi Group;Top Regions;AZ;512;5;1809;9045;1465,29;1718,55;19
84;SO - 0004023;07.09.2015;Product 7;AXW291;Wholesale;KIEV;Ukraine;Apollo Ltd;Top Regions;AZ;332;5;1775,5;8877,5;1384,89;1953,05;22
85;SO - 0006437;20.06.2016;Product 7;AXW291;Wholesale;KIEV;Ukraine;New Ltd;Top Regions;AZ;242;6;3048,5;18291;2438,8;3658,2;20
86;SO - 0007328;03.10.2016;Product 7;AXW291;Wholesale;KIEV;Ukraine;Apollo Ltd;Top Regions;AZ;155;6;3912,8;23476,8;2425,936;8921,184;38
87;SO - 0004331;12.10.2015;Product 7;AXW291;Wholesale;KIEV;Ukraine;Sundial;Top Regions;AZ;331;7;1105,5;7738,5;585,915;3637,095;47
88;SO - 0002518;09.03.2015;Product 7;AXW291;Distributor;KIEV;Ukraine;Fenwal, Corp;Top Regions;AZ;421;7;991,6;6941,2;763,532;1596,476;23
89;SO - 0002780;13.04.2015;Product 7;AXW291;Distributor;KIEV;Ukraine;S.S.S. Group;Top Regions;AZ;421;7;1909,5;13366,5;840,18;7485,24;56
90;SO - 0001681;01.12.2014;Product 7;AXW291;Wholesale;KIEV;Ukraine;Apollo Ltd;Top Regions;AZ;513;8;1118,9;8951,2;458,749;5281,208;59
91;SO - 0003692;27.07.2015;Product 7;AXW291;Wholesale;KIEV;Ukraine;Ole Group;Top Regions;AZ;334;8;3959,7;31677,6;3048,969;7285,848;23
92;SO - 000336;23.06.2014;Product 7;AXW291;Distributor;KIEV;Ukraine;New Ltd;Top Regions;AZ;512;8;6378,4;51027,2;2806,496;28575,232;56
93;SO - 000659;04.08.2014;Product 7;AXW291;Wholesale;KIEV;Ukraine;Apotheca, Ltd;Top Regions;AZ;515;9;5427;48843;3744,63;15141,33;31
94;SO - 0005908;18.04.2016;Product 7;AXW291;Wholesale;KIEV;Ukraine;Linde;Top Regions;AZ;243;10;1313,2;13132;945,504;3676,96;28
95;SO - 0006326;06.06.2016;Product 7;AXW291;Wholesale;KIEV;Ukraine;Llorens Ltd;Top Regions;AZ;243;10;2800,6;28006;1316,282;14843,18;53
96;SO - 0001389;27.10.2014;Product 7;AXW291;Distributor;KIEV;Ukraine;Ole Group;Top Regions;AZ;513;10;6505,7;65057;4944,332;15613,68;24
97;SO - 0002060;12.01.2015;Product 7;AXW291;Wholesale;KIEV;Ukraine;Weimei Corp;Top Regions;AZ;424;11;1212,7;13339,7;715,493;5469,277;41
98;SO - 0005092;11.01.2016;Product 7;AXW291;Wholesale;KIEV;Ukraine;Pacific Ltd;Top Regions;AZ;245;11;938;10318;684,74;2785,86;27
99;SO - 0005279;01.02.2016;Product 7;AXW291;Wholesale;KIEV;Ukraine;Ei;Top Regions;AZ;241;11;1172,5;12897,5;750,4;4643,1;36
100;SO - 0006521;27.06.2016;Product 7;AXW291;Wholesale;KIEV;Ukraine;Nipro;Top Regions;AZ;242;11;1072;11792;536;5896;50
101;SO - 0006444;20.06.2016;Product 7;AXW291;Wholesale;KIEV;Ukraine;Wuxi Group;Top Regions;AZ;242;12;241,2;2894,4;149,544;1099,872;38
102;SO - 0002657;30.03.2015;Product 7;AXW291;Wholesale;PARIS;France;S.S.S. Group;Top Regions;AZ;424;5;4006,6;20033;3205,28;4006,6;20
103;SO - 0002837;20.04.2015;Product 7;AXW291;Wholesale;PARIS;France;Trigen;Top Regions;AZ;424;5;1038,5;5192,5;747,72;1453,9;28
104;SO - 0002857;20.04.2015;Product 7;AXW291;Wholesale;PARIS;France;Weimei Corp;Top Regions;AZ;424;5;5433,7;27168,5;3205,883;11139,085;41
105;SO - 0002266;02.02.2015;Product 7;AXW291;Wholesale;PARIS;France;3LAB, Ltd;Top Regions;AZ;422;6;1829,1;10974,6;804,804;6145,776;56
106;SO - 0004585;16.11.2015;Product 7;AXW291;Wholesale;PARIS;France;Medsep Group;Top Regions;AZ;335;6;3966,4;23798,4;2141,856;10947,264;46
107;SO - 000740;11.08.2014;Product 7;AXW291;Distributor;PARIS;France;Qualitest;Top Regions;AZ;514;6;1869,3;11215,8;1196,352;4037,688;36
108;SO - 0002632;23.03.2015;Product 7;AXW291;Wholesale;PARIS;France;U.S. Ltd;Top Regions;AZ;421;7;2257,9;15805,3;1896,636;2528,848;16
109;SO - 0002435;23.02.2015;Product 7;AXW291;Wholesale;PARIS;France;Apotheca, Ltd;Top Regions;AZ;424;8;1031,8;8254,4;443,674;4705,008;57
110;SO - 0003608;13.07.2015;Product 7;AXW291;Distributor;PARIS;France;Nipro;Top Regions;AZ;333;9;6398,5;57586,5;5118,8;11517,3;20
111;SO - 0001894;29.12.2014;Product 7;AXW291;Wholesale;PARIS;France;AuroMedics Corp;Top Regions;AZ;421;10;1092,1;10921;666,181;4259,19;39
112;SO - 0003583;13.07.2015;Product 7;AXW291;Wholesale;PARIS;France;Qualitest;Top Regions;AZ;333;10;261,3;2613;167,232;940,68;36
113;SO - 0003881;17.08.2015;Product 7;AXW291;Wholesale;PARIS;France;Select;Top Regions;AZ;333;10;857,6;8576;651,776;2058,24;24
114;SO - 0001930;01.01.2015;Product 7;AXW291;Distributor;PARIS;France;Qualitest;Top Regions;AZ;422;10;5453,8;54538;3654,046;17997,54;33
115;SO - 0003749;03.08.2015;Product 7;AXW291;Distributor;PARIS;France;Eminence Corp;Top Regions;AZ;335;10;1748,7;17487;1346,499;4022,01;23
116;SO - 0004806;07.12.2015;Product 7;AXW291;Export;PARIS;France;Apotheca, Ltd;Top Regions;AZ;332;10;3986,5;39865;1674,33;23121,7;58
117;SO - 000258;16.06.2014;Product 7;AXW291;Wholesale;PARIS;France;Dharma Ltd;Top Regions;AZ;512;11;2385,2;26237,2;1502,676;9707,764;37
118;SO - 0003825;10.08.2015;Product 7;AXW291;Wholesale;PARIS;France;Amylin Group;Top Regions;AZ;333;11;1058,6;11644,6;899,81;1746,69;15
119;SO - 0002647;23.03.2015;Product 7;AXW291;Distributor;PARIS;France;Winthrop;Top Regions;AZ;421;12;1969,8;23637,6;787,92;14182,56;60
120;SO - 0002759;06.04.2015;Product 7;AXW291;Export;PARIS;France;Elorac, Corp;Top Regions;AZ;424;12;3939,6;47275,2;3072,888;10400,544;22
121;SO - 0004453;26.10.2015;Product 7;AXW291;Wholesale;BUCURESTI (Bucharest);Romania;Niconovum Corp;Lower Regions;AZ;331;5;1058,6;5293;656,332;2011,34;38
122;SO - 0001517;17.11.2014;Product 7;AXW291;Distributor;BUCURESTI (Bucharest);Romania;Select;Lower Regions;AZ;515;5;3859,2;19296;1620,864;11191,68;58
123;SO - 0003158;25.05.2015;Product 7;AXW291;Distributor;BUCURESTI (Bucharest);Romania;E. Ltd;Lower Regions;AZ;424;5;2559,4;12797;1970,738;2943,31;23
124;SO - 0005167;18.01.2016;Product 7;AXW291;Distributor;BUCURESTI (Bucharest);Romania;AuroMedics Corp;Lower Regions;AZ;242;5;6244,4;31222;5057,964;5932,18;19
125;SO - 000246;16.06.2014;Product 7;AXW291;Wholesale;BUCURESTI (Bucharest);Romania;Llorens Ltd;Lower Regions;AZ;512;7;1072;7504;643,2;3001,6;40
126;SO - 0006036;02.05.2016;Product 7;AXW291;Wholesale;BUCURESTI (Bucharest);Romania;Avon Corp;Lower Regions;AZ;241;7;201;1407;120,6;562,8;40
127;SO - 0005706;28.03.2016;Product 7;AXW291;Distributor;BUCURESTI (Bucharest);Romania;Avon Corp;Lower Regions;AZ;244;7;844,2;5909,4;616,266;1595,538;27
128;SO - 0003230;01.06.2015;Product 7;AXW291;Wholesale;BUCURESTI (Bucharest);Romania;Wuxi Group;Lower Regions;AZ;425;8;1072;8576;428,8;5145,6;60
129;SO - 0002128;19.01.2015;Product 7;AXW291;Export;BUCURESTI (Bucharest);Romania;Exact-Rx, Corp;Lower Regions;AZ;423;8;6545,9;52367,2;3076,573;27754,616;53
130;SO - 000603;28.07.2014;Product 7;AXW291;Wholesale;BUCURESTI (Bucharest);Romania;Trigen;Lower Regions;AZ;511;9;1768,8;15919,2;778,272;8914,752;56
131;SO - 0002498;02.03.2015;Product 7;AXW291;Wholesale;BUCURESTI (Bucharest);Romania;S.S.S. Group;Lower Regions;AZ;421;9;1909,5;17185,5;1413,03;4468,23;26
132;SO - 0005014;04.01.2016;Product 7;AXW291;Wholesale;BUCURESTI (Bucharest);Romania;Avon Corp;Lower Regions;AZ;245;9;716,9;6452,1;336,943;3419,613;53
133;SO - 0006004;25.04.2016;Product 7;AXW291;Export;BUCURESTI (Bucharest);Romania;Ei;Lower Regions;AZ;245;9;2244,5;20200,5;1683,375;5050,125;25
134;SO - 000373;30.06.2014;Product 7;AXW291;Wholesale;BUCURESTI (Bucharest);Romania;PEDIFIX, Corp;Lower Regions;AZ;511;10;227,8;2278;134,402;933,98;41
135;SO - 0004584;16.11.2015;Product 7;AXW291;Wholesale;BUCURESTI (Bucharest);Romania;Eminence Corp;Lower Regions;AZ;335;10;187,6;1876;91,924;956,76;51
136;SO - 0007876;05.12.2016;Product 7;AXW291;Wholesale;BUCURESTI (Bucharest);Romania;Qualitest;Lower Regions;AZ;155;10;2613;26130;1620,06;9929,4;38
137;SO - 0003987;31.08.2015;Product 7;AXW291;Wholesale;BUCURESTI (Bucharest);Romania;Trigen;Lower Regions;AZ;332;11;4020;44220;2371,8;18130,2;41
138;SO - 0004512;09.11.2015;Product 7;AXW291;Wholesale;BUDAPEST;Hungary;Medline;Mid Regions;AZ;334;5;2010;10050;944,7;5326,5;53
139;SO - 0007895;05.12.2016;Product 7;AXW291;Distributor;BUDAPEST;Hungary;Medline;Mid Regions;AZ;155;5;3571,1;17855,5;2499,77;5356,65;30
140;SO - 0001547;17.11.2014;Product 7;AXW291;Export;BUDAPEST;Hungary;Pure Group;Mid Regions;AZ;515;5;1768,8;8844;1220,472;2741,64;31
141;SO - 0007137;12.09.2016;Product 7;AXW291;Wholesale;BUDAPEST;Hungary;Avon Corp;Mid Regions;AZ;153;7;1782,2;12475,4;1497,048;1996,064;16
142;SO - 0001410;03.11.2014;Product 7;AXW291;Distributor;BUDAPEST;Hungary;Select;Mid Regions;AZ;513;7;180,9;1266,3;85,023;671,139;53
143;SO - 0006619;11.07.2016;Product 7;AXW291;Distributor;BUDAPEST;Hungary;Medline;Mid Regions;AZ;153;7;1996,6;13976,2;1397,62;4192,86;30
144;SO - 0002262;02.02.2015;Product 7;AXW291;Wholesale;BUDAPEST;Hungary;Amylin Group;Mid Regions;AZ;422;8;1132,3;9058,4;702,026;3442,192;38
145;SO - 0002027;05.01.2015;Product 7;AXW291;Distributor;BUDAPEST;Hungary;Trigen;Mid Regions;AZ;425;8;3383,5;27068;2672,965;5684,28;21
146;SO - 000280;16.06.2014;Product 7;AXW291;Wholesale;BUDAPEST;Hungary;Select;Mid Regions;AZ;512;9;1139;10251;933,98;1845,18;18
147;SO - 0004260;05.10.2015;Product 7;AXW291;Wholesale;BUDAPEST;Hungary;E. Ltd;Mid Regions;AZ;334;9;5587,8;50290,2;2738,022;25648,002;51
148;SO - 0006715;18.07.2016;Product 7;AXW291;Wholesale;BUDAPEST;Hungary;Apotheca, Ltd;Mid Regions;AZ;154;9;3912,8;35215,2;3325,88;5282,28;15
149;SO - 0004953;28.12.2015;Product 7;AXW291;Wholesale;BUDAPEST;Hungary;Wuxi Group;Mid Regions;AZ;241;10;1145,7;11457;458,28;6874,2;60
150;SO - 0002501;09.03.2015;Product 7;AXW291;Distributor;BUDAPEST;Hungary;ETUDE Ltd;Mid Regions;AZ;421;10;844,2;8442;574,056;2701,44;32
151;SO - 0002955;27.04.2015;Product 7;AXW291;Distributor;BUDAPEST;Hungary;Nipro;Mid Regions;AZ;425;10;1051,9;10519;767,887;2840,13;27
152;SO - 000470;14.07.2014;Product 7;AXW291;Wholesale;BUDAPEST;Hungary;PEDIFIX, Corp;Mid Regions;AZ;512;11;2613;28743;1332,63;14084,07;49
153;SO - 0006948;15.08.2016;Product 7;AXW291;Wholesale;BUDAPEST;Hungary;Ohio;Mid Regions;AZ;153;11;1943;21373;1262,95;7480,55;35
154;SO - 0006180;23.05.2016;Product 7;AXW291;Wholesale;BUDAPEST;Hungary;Prasco Group;Mid Regions;AZ;244;12;2532,6;30391,2;2152,71;4558,68;15
155;SO - 0004948;28.12.2015;Product 7;AXW291;Wholesale;Hamburg;Germany;Ole Group;Top Regions;AZ;241;5;3953;19765;2648,51;6522,45;33
156;SO - 0005267;01.02.2016;Product 7;AXW291;Wholesale;Hamburg;Germany;Ohio;Top Regions;AZ;241;6;2345;14070;1195,95;6894,3;49
157;SO - 0006224;23.05.2016;Product 7;AXW291;Wholesale;Hamburg;Germany;Bare;Top Regions;AZ;244;6;891,1;5346,6;605,948;1710,912;32
158;SO - 0002952;27.04.2015;Product 7;AXW291;Distributor;Hamburg;Germany;AuroMedics Corp;Top Regions;AZ;425;6;1025,1;6150,6;430,542;3567,348;58
159;SO - 0005083;11.01.2016;Product 7;AXW291;Export;Hamburg;Germany;Llorens Ltd;Top Regions;AZ;245;6;2412;14472;1736,64;4052,16;28
160;SO - 0002975;04.05.2015;Product 7;AXW291;Wholesale;Hamburg;Germany;Medsep Group;Top Regions;AZ;423;7;2324,9;16274,3;1371,691;6672,463;41
161;SO - 0004830;14.12.2015;Product 7;AXW291;Wholesale;Hamburg;Germany;Prasco Group;Top Regions;AZ;333;7;1782,2;12475,4;1122,786;4615,898;37
162;SO - 0006732;25.07.2016;Product 7;AXW291;Distributor;Hamburg;Germany;U.S. Ltd;Top Regions;AZ;155;7;201;1407;164,82;253,26;18
163;SO - 0002851;20.04.2015;Product 7;AXW291;Export;Hamburg;Germany;AuroMedics Corp;Top Regions;AZ;424;7;2485,7;17399,9;1466,563;7133,959;41
